p,rep,level,eig_idx,method,pop_eig,sample_eig
10,33,E,2,REML,1,1.139528033
10,33,E,3,REML,1,1.078070892
10,33,E,4,REML,1,1.072375187
10,33,E,5,REML,1,1.041807438
10,34,A,1,REML,1,2.679115998
10,34,A,2,REML,1,2.076534921
10,34,A,3,REML,1,2.022650876
10,34,A,4,REML,1,1.217411529
10,34,A,5,REML,1,0.902491232
10,34,B,1,REML,4,5.733693751
10,34,B,2,REML,4,4.908266685
10,34,B,3,REML,4,4.624736961
10,34,B,4,REML,4,4.020033858
10,34,B,5,REML,4,3.940950997
10,34,E,1,REML,1,1.149279746
10,34,E,2,REML,1,1.087633467
10,34,E,3,REML,1,1.053723516
10,34,E,4,REML,1,1.042536103
10,34,E,5,REML,1,1.029771624
10,35,A,1,REML,1,2.263477936
10,35,A,2,REML,1,2.00590099
10,35,A,3,REML,1,1.659693362
10,35,A,4,REML,1,1.39648018
10,35,A,5,REML,1,0.922872608
10,35,B,1,REML,4,5.676941353
10,35,B,2,REML,4,5.152011471
10,35,B,3,REML,4,4.554964217
10,35,B,4,REML,4,4.176548448
10,35,B,5,REML,4,3.870795345
10,35,E,1,REML,1,1.160893929
10,35,E,2,REML,1,1.13193075
10,35,E,3,REML,1,1.078906722
10,35,E,4,REML,1,1.037379203
10,35,E,5,REML,1,1.022510765
10,36,A,1,REML,1,1.797799677
10,36,A,2,REML,1,1.661100897
10,36,A,3,REML,1,1.550657496
10,36,A,4,REML,1,1.379776134
10,36,A,5,REML,1,1.156675232
10,36,B,1,REML,4,5.625706715
10,36,B,2,REML,4,5.382606021
10,36,B,3,REML,4,4.718455845
10,36,B,4,REML,4,4.390607184
10,36,B,5,REML,4,4.177292568
10,36,E,1,REML,1,1.171125386
10,36,E,2,REML,1,1.126714362
10,36,E,3,REML,1,1.070962964
10,36,E,4,REML,1,1.048573962
10,36,E,5,REML,1,1.01661153
10,37,A,1,REML,1,2.086505223
10,37,A,2,REML,1,1.704023455
10,37,A,3,REML,1,1.21875014
10,37,A,4,REML,1,1.019927305
10,37,A,5,REML,1,0.782471619
10,37,B,1,REML,4,6.015790579
10,37,B,2,REML,4,5.558124161
10,37,B,3,REML,4,5.083022441
10,37,B,4,REML,4,4.785827813
10,37,B,5,REML,4,4.410453055
