p,rep,level,eig_idx,method,pop_eig,sample_eig
10,18,A,5,MANOVA,1,0.792695916
10,18,B,1,MANOVA,4,4.842644399
10,18,B,2,MANOVA,4,4.840761716
10,18,B,3,MANOVA,4,3.729169089
10,18,B,4,MANOVA,4,3.398716804
10,18,B,5,MANOVA,4,0.08125869
10,18,E,1,MANOVA,1,1.165002123
10,18,E,2,MANOVA,1,1.141355119
10,18,E,3,MANOVA,1,1.12467083
10,18,E,4,MANOVA,1,1.058565417
10,18,E,5,MANOVA,1,1.054312267
10,18,A,1,REML,1,1.40325116
10,18,A,2,REML,1,1.374889864
10,18,A,3,REML,1,1.017695062
10,18,A,4,REML,1,0.998594154
10,18,A,5,REML,1,0.810561789
10,18,B,1,REML,4,4.441700771
10,18,B,2,REML,4,4.266823408
10,18,B,3,REML,4,3.460082004
10,18,B,4,REML,4,3.263896787
10,18,B,5,REML,4,0.079329914
10,18,E,1,REML,1,1.161022493
10,18,E,2,REML,1,1.140391855
10,18,E,3,REML,1,1.119045285
10,18,E,4,REML,1,1.054805775
10,18,E,5,REML,1,1.028932717
10,19,A,1,MANOVA,1,1.461422274
10,19,A,2,MANOVA,1,0.979952016
10,19,A,3,MANOVA,1,0.930392166
10,19,A,4,MANOVA,1,0.779263581
10,19,A,5,MANOVA,1,0.649558296
10,19,B,1,MANOVA,4,5.164420842
10,19,B,2,MANOVA,4,4.359681437
10,19,B,3,MANOVA,4,3.8493308
10,19,B,4,MANOVA,4,3.125546069
10,19,B,5,MANOVA,4,0.07129704
10,19,E,1,MANOVA,1,1.174294307
10,19,E,2,MANOVA,1,1.080997428
10,19,E,3,MANOVA,1,1.065269926
10,19,E,4,MANOVA,1,1.055295506
10,19,E,5,MANOVA,1,0.998726492
10,19,A,1,REML,1,1.465424828
10,19,A,2,REML,1,0.98017243
10,19,A,3,REML,1,0.931195673
10,19,A,4,REML,1,0.782745794
10,19,A,5,REML,1,0.646500742
10,19,B,1,REML,4,4.670507865
10,19,B,2,REML,4,4.093057264
10,19,B,3,REML,4,3.662269911
10,19,B,4,REML,4,3.109251633
10,19,B,5,REML,4,0.064353675
10,19,E,1,REML,1,1.163002201
10,19,E,2,REML,1,1.075020208
10,19,E,3,REML,1,1.055452722
10,19,E,4,REML,1,1.049619802
10,19,E,5,REML,1,0.986711409
10,20,A,1,MANOVA,1,1.522219977
